curso;codigo;D_DENOMINA;D_ESPECIFICA;D_TIPO;D_DOMICILIO;D_LOCALIDAD;cod_municipio;D_MUNICIPIO;D_PROVINCIA;C_POSTAL;N_TELEFONO;Correo_e;N_LATITUD;N_LONGITUD;N_COUTMX;N_COUTMY;Regimen_general;Regimen_adultos;Regimen_especial;pub_adh_inf1;pub_noadh_inf1;priv_adh_inf1;priv_noadh_inf1;pub_inf2;priv_c_inf2;priv_noc_inf2;pub_pri;priv_c_pri;priv_noc_pri;pub_eso;priv_c_eso;priv_noc_eso;pub_bach_ord;priv_c_bach_ord;priv_noc_bach_ord;pub_bach_adul;pub_bach_semi_dist;pub_fpbasica;priv_c_fpbas;priv_noc_fpbas;pub_fpgm_ord;priv_c_fpgm_ord;priv_noc_fpgm_ord;pub_fpgm_adul;pub_fpgm_semi_dist;priv_noc_fpgm_semi_dist;pub_fpgs_ord;priv_c_fpgs_ord;priv_noc_fpgs_ord;pub_fpgs_adul;priv_noc_fpgs_adul;pub_fpgs_semi_dist;priv_noc_fpgs_semi_dist;pub_ce_gm;pri_noc_ce_gm;pub_ce_gs;pri_noc_ce_gs;pub_ee;priv_c_ee;priv_noc_ee;pub_ccff_gm_apd;priv_ccff_gm_apd;pub_ccff_gs_apd;priv_ccff_gs_apd;pub_ESD;priv_ESD;priv_Master_EA;pub_Dra;priv_Dra;pub_Ens_Mus;priv_Ens_Mus;pub_Ens_Dan;priv_Ens_Dan;pub_Ens_no_reg_mus;priv_Ens_no_reg_mus;pub_Ens_no_reg_dan;priv_Ens_no_reg_dan;pub_idi;pub_idi_libre;pub_Ens_no_reg_idi;pub_Dep_gm;priv_Dep_gm;pub_Dep_gs;priv_Dep_gs;pub_Adul_formal;pub_planes
22;04005193;Colegio de Educación Infantil y Primaria;Ángel de Haro;Público;Avda. de Andalucía, s/n;Vera;04100;Vera;Almería;04620;950451965;04005193.edu@juntadeandalucia.es;37,24512237989545;-1,8686842918395996;600337,7363;4122664,734;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005201;Colegio de Educación Infantil y Primaria;Profesor Tierno Galván;Público;C/ Profesora Hortensia Martínez, 11;Vícar;04102;Vícar;Almería;04738;950156792;04005201.edu@juntadeandalucia.es;36,795763046575345;-2,612895369529724;534535,0252;4072285,97;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005211;Colegio de Educación Infantil y Primaria;La Canal;Público;Ctra. de la Canal, s/n;Congo-Canal;04102;Vícar;Almería;04738;950156794;04005211.edu@juntadeandalucia.es;36,7750554089737;-2,6688405731861166;529551,8815;4069970,138;S;N;N;N;N;N;N;S;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005223;Colegio de Educación Infantil y Primaria;Ntra. Sra. de la Merced;Público;Avda. Guadalquivir, 75;La Gangosa;04102;Vícar;Almería;04738;950156797;04005223.edu@juntadeandalucia.es;36,8075667079778;-2,627352476119995;533240,1467;4073590,23;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005235;Colegio de Educación Infantil y Primaria;Colonia Araceli;Público;C/ Virgen de las Angustias, 2;Almería;04013;Almería;Almería;04009;950156201;04005235.edu@juntadeandalucia.es;36,85277076677991;-2,4540505397469587;548670,1423;4078679,031;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005272;Centro Docente Privado;Nuestra Señora de Gádor;Privado;C/ Santuario Ntra. Sra. de Gádor,  s/n;Berja;04029;Berja;Almería;04760;950490014;secretaria@nuestrasenoradegador.es;36,85721338864161;-2,9238259335891143;506790,3218;4079035,486;S;N;N;N;N;N;N;N;S;N;N;S;N;N;S;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005284;Instituto de Educación Secundaria;Martín García Ramos;Público;Ctra. de la Estación, 8;Albox;04006;Albox;Almería;04800;697951168;iesmgr@telefonica.net;37,38614129553454;-2,148344031091824;575392,8234;4138049,914;S;S;N;N;N;N;N;N;N;N;N;N;N;S;N;N;S;N;N;N;S;S;N;N;S;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N
22;04005302;Centro de Educación Infantil;Delicias;Privado;C/ Delicias, 5;Almería;04013;Almería;Almería;04009;950852519;scpescuelainfantildelicias@hotmail.com;36,84692397172626;-2,441097193275823;549828,7082;4078037,112;S;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005326;Colegio de Educación Infantil y Primaria;Mar Mediterráneo;Público;C/ Jóse Morales Abad, 9;Almería;04013;Almería;Almería;04007;950156203;04005326.edu@juntadeandalucia.es;36,83279157727769;-2,457037568092346;548416,4475;4076461,187;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
22;04005338;Colegio de Educación Infantil y Primaria;Federico García Lorca;Público;C/ Goya, 2;Carboneras;04032;Carboneras;Almería;04140;950451687;04005338.edu@juntadeandalucia.es;37,00014345706674;-1,8919726320092071;598589,4426;4095462,036;S;N;N;N;N;N;N;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
