CUERPO,PROVINCIA,LOCALIDAD,CENTRO,PUESTO,PLAZAS,
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597031-EDUCACIÓN INFANTIL,2,
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597032-LENGUA EXTRANJERA-INGLÉS,1,
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597033-LENGUA EXTRANJERA-FRANCÉS,1,
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597034-EDUCACIÓN FÍSICA,1,
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597035-MÚSICA,1,
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597036-PEDAGOGÍA TERAPÉUTICA,1,
MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597038-EDUCACIÓN PRIMARIA,3,
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597031-EDUCACIÓN INFANTIL,2,
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597032-LENGUA EXTRANJERA-INGLÉS,1,
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597034-EDUCACIÓN FÍSICA,1,
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597035-MÚSICA,1,
MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,1,
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597APO-APOYO COMPENSACION,1,
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597031-EDUCACIÓN INFANTIL,4,
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597032-LENGUA EXTRANJERA-INGLÉS,2,
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597033-LENGUA EXTRANJERA-FRANCÉS,1,
MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597034-EDUCACIÓN FÍSICA,1,
